id|Product Name|Brand|Category|Rank|Price|Rating|Weight|Available From|Est. Revenue
91|"BUZIO Stainless Steel Water Bottle with 3.74"" Wide Mouth, Insulated Half Gallon Water Bottle with Straw Lid, Double Wall Vacuum Insulated Big Sports Water Bottle, Leakproof Water Mug for Sports Gym"|BUZIO|Sports & Outdoors|#31,647|$29.98|5.0|1.001|02/23/23|$630
92|EURANS Smart Watch 41mm, Full Touchscreen Smartwatch, Fitness Tracker with Heart Rate Monitor & SpO2, IP68 Waterproof Pedometer Watch for Women Men Compatible with iOS & Android Phones|EURANS|Electronics|#931|$17.99|4.1|0.15|01/13/22|$18,657
93|Amazfit Band 5 Activity Fitness Tracker with Alexa Built-in, 15-Day Battery Life, Blood Oxygen, Heart Rate, Sleep & Stress Monitoring, 5 ATM Water Resistant, Fitness Watch for Men Women Kids, Black|Amazfit|Sports & Outdoors|#233|$38.98|4.0|0.187|09/20/20|$468,300
94|LIVIKEY Fitness Tracker Watch with Heart Rate Monitor, Step Counter IP67 Waterproof Activity Tracker with Pedometer & Sleep Monitor, Calories, Step Tracking for Women Men Compatible with Android iOS|Shopnow|Sports & Outdoors|#3,159|$19.99|4.0|0.117|04/13/23|$28,404
95|Kummel Fitness Tracker with Heart Rate Monitor, Waterproof Activity Tracker with Pedometer & Sleep Monitor, Calories, Step Tracking for Women Men Black|Kummel|Sports & Outdoors|#1,110|$25.99|3.8|0.121|11/12/21|$111,331
96|Fitbit Charge 5 Advanced Health & Fitness Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate & More, Platinum, Mineral Blue, One Size S & L Bands Included, Steel Blue|Fitbit|Sports & Outdoors|#8|$107.43|4.3|0.342|08/26/21|$3,434,425
97|Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)|Fitbit|Sports & Outdoors|#249|$58.95|4.4|0.181|08/25/20|$599,061
98|"IMFRCHCS Fitness Tracker Activity Tracker with 1.1"" AMOLED Color Display Smart Watch,24/7Heart Rate Monitor,Indoor Outdoor Tracking,Sleep Monitor,5 ATM Waterproof Step Counter for Women Men (Pink)"|IMFRCHCS|Sports & Outdoors|#4,251|$29.99|4.8|0.13|05/30/23|$12,446
99|Fitbit Inspire 3 Health & Fitness Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)|Fitbit|Sports & Outdoors|#40|$79.95|4.5|0.24|09/23/22|$1,624,622
100|Fitness Tracker, 1.10''AMOLED Touch Color Screen Activity Tracker with 24/7 Heart Rate, Sleep Tracking, 25 Sports, Step Calorie Counter Pedometer for Android Phones iPhones Women Men Kids|Bakoor|Sports & Outdoors|#11,806|$28.99|3.7|0.181|02/05/23|$28,127
101|KALINCO Fitness Tracker with Heart Rate Monitor, Activity Tracker with Pedometer, Sleep Tracking, Calorie & Step Counter Watch, Call & Message Alert for Men Women|KALINCO|Sports & Outdoors|#4,858|$19.99|4.3|0.121|04/24/23|$8,036
